,movie,link
362,4 Little Girls,https://https://www.metacritic.com/movie/4-little-girls
363,Wild Strawberries,https://https://www.metacritic.com/movie/wild-strawberries
364,Crime + Punishment,https://https://www.metacritic.com/movie/crime-+-punishment
365,The Seventh Seal,https://https://www.metacritic.com/movie/the-seventh-seal
366,How Green Was My Valley,https://https://www.metacritic.com/movie/how-green-was-my-valley
367,Azor,https://https://www.metacritic.com/movie/azor
368,Y Tu Mamá También,https://https://www.metacritic.com/movie/y-tu-mama-tambien
369,Paddington 2,https://https://www.metacritic.com/movie/paddington-2
370,The Little Mermaid,https://https://www.metacritic.com/movie/the-little-mermaid
371,City Hall,https://https://www.metacritic.com/movie/city-hall
372,Capote,https://https://www.metacritic.com/movie/capote
373,The Death of Stalin,https://https://www.metacritic.com/movie/the-death-of-stalin
374,Miracle on 34th Street,https://https://www.metacritic.com/movie/miracle-on-34th-street
375,Strangers on a Train,https://https://www.metacritic.com/movie/strangers-on-a-train
376,Tulpan,https://https://www.metacritic.com/movie/tulpan
377,Manuscripts Don't Burn,https://https://www.metacritic.com/movie/manuscripts-dont-burn
378,In Transit,https://https://www.metacritic.com/movie/in-transit
379,"Three Billboards Outside Ebbing, Missouri",https://https://www.metacritic.com/movie/three-billboards-outside-ebbing-missouri
380,Quest,https://https://www.metacritic.com/movie/quest-2017
381,Au Revoir les Enfants,https://https://www.metacritic.com/movie/au-revoir-les-enfants
382,A Film Unfinished,https://https://www.metacritic.com/movie/a-film-unfinished
383,Things to Come,https://https://www.metacritic.com/movie/things-to-come
384,The Grand Budapest Hotel,https://https://www.metacritic.com/movie/the-grand-budapest-hotel
385,Winter Sleep,https://https://www.metacritic.com/movie/winter-sleep
386,A Star Is Born,https://https://www.metacritic.com/movie/a-star-is-born
387,Citizenfour,https://https://www.metacritic.com/movie/citizenfour
388,Time Out,https://https://www.metacritic.com/movie/time-out
389,The Blue Angel (re-release),https://https://www.metacritic.com/movie/the-blue-angel
390,Thelma & Louise,https://https://www.metacritic.com/movie/thelma-louise
391,Away from Her,https://https://www.metacritic.com/movie/away-from-her
392,The Fallen Idol (re-release),https://https://www.metacritic.com/movie/the-fallen-idol
393,The Father,https://https://www.metacritic.com/movie/the-father
394,Fat City,https://https://www.metacritic.com/movie/fat-city
395,Foxtrot,https://https://www.metacritic.com/movie/foxtrot
396,Howards End,https://https://www.metacritic.com/movie/howards-end
397,The Innocents,https://https://www.metacritic.com/movie/the-innocents
